INFO 2025-06-13 16:25:57,751 tasks Found 5 available products to check
INFO 2025-06-13 16:25:58,029 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:58,089 tasks Starting product expiration check at 2025-06-13 16:25:58.089302+07:00 WIB
INFO 2025-06-13 16:25:58,132 tasks Found 5 available products to check
INFO 2025-06-13 16:25:58,388 tasks Starting product expiration check at 2025-06-13 16:25:58.388890+07:00 WIB
INFO 2025-06-13 16:25:58,394 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:58,520 tasks Found 5 available products to check
INFO 2025-06-13 16:25:58,683 tasks Starting product expiration check at 2025-06-13 16:25:58.683196+07:00 WIB
INFO 2025-06-13 16:25:58,794 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:58,828 tasks Found 5 available products to check
INFO 2025-06-13 16:25:59,031 tasks Starting product expiration check at 2025-06-13 16:25:59.031661+07:00 WIB
INFO 2025-06-13 16:25:59,091 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:59,134 tasks Found 5 available products to check
INFO 2025-06-13 16:25:59,372 tasks Starting product expiration check at 2025-06-13 16:25:59.372100+07:00 WIB
INFO 2025-06-13 16:25:59,421 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:59,443 tasks Found 5 available products to check
INFO 2025-06-13 16:25:59,717 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:59,718 tasks Starting product expiration check at 2025-06-13 16:25:59.717412+07:00 WIB
INFO 2025-06-13 16:25:59,795 tasks Found 5 available products to check
INFO 2025-06-13 16:26:00,107 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:00,108 tasks Starting product expiration check at 2025-06-13 16:26:00.108062+07:00 WIB
INFO 2025-06-13 16:26:00,182 tasks Found 5 available products to check
INFO 2025-06-13 16:26:00,460 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:00,482 tasks Starting product expiration check at 2025-06-13 16:26:00.482050+07:00 WIB
INFO 2025-06-13 16:26:00,534 tasks Found 5 available products to check
INFO 2025-06-13 16:26:00,817 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:00,871 tasks Starting product expiration check at 2025-06-13 16:26:00.870911+07:00 WIB
INFO 2025-06-13 16:26:00,931 tasks Found 5 available products to check
INFO 2025-06-13 16:26:01,230 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:01,269 tasks Starting product expiration check at 2025-06-13 16:26:01.269347+07:00 WIB
INFO 2025-06-13 16:26:01,370 tasks Found 5 available products to check
INFO 2025-06-13 16:26:01,645 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:01,661 tasks Starting product expiration check at 2025-06-13 16:26:01.661161+07:00 WIB
INFO 2025-06-13 16:26:01,710 tasks Found 5 available products to check
INFO 2025-06-13 16:26:01,989 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:02,058 tasks Starting product expiration check at 2025-06-13 16:26:02.058657+07:00 WIB
INFO 2025-06-13 16:26:02,073 tasks Found 5 available products to check
INFO 2025-06-13 16:26:02,349 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:02,415 tasks Starting product expiration check at 2025-06-13 16:26:02.415627+07:00 WIB
INFO 2025-06-13 16:26:02,472 tasks Found 5 available products to check
INFO 2025-06-13 16:26:02,786 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:02,841 tasks Starting product expiration check at 2025-06-13 16:26:02.841168+07:00 WIB
INFO 2025-06-13 16:26:02,855 tasks Found 5 available products to check
INFO 2025-06-13 16:26:03,150 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:03,221 tasks Starting product expiration check at 2025-06-13 16:26:03.221039+07:00 WIB
INFO 2025-06-13 16:26:03,262 tasks Found 5 available products to check
INFO 2025-06-13 16:26:03,532 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:03,550 tasks Starting product expiration check at 2025-06-13 16:26:03.550213+07:00 WIB
INFO 2025-06-13 16:26:03,643 tasks Found 5 available products to check
INFO 2025-06-13 16:26:03,875 tasks Starting product expiration check at 2025-06-13 16:26:03.875212+07:00 WIB
INFO 2025-06-13 16:26:03,919 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:03,963 tasks Found 5 available products to check
INFO 2025-06-13 16:26:04,236 tasks Starting product expiration check at 2025-06-13 16:26:04.236949+07:00 WIB
INFO 2025-06-13 16:26:04,263 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:04,339 tasks Found 5 available products to check
INFO 2025-06-13 16:26:04,575 tasks Starting product expiration check at 2025-06-13 16:26:04.575742+07:00 WIB
INFO 2025-06-13 16:26:04,619 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:04,769 tasks Found 5 available products to check
INFO 2025-06-13 16:26:04,885 tasks Starting product expiration check at 2025-06-13 16:26:04.885457+07:00 WIB
INFO 2025-06-13 16:26:05,050 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:05,089 tasks Found 5 available products to check
INFO 2025-06-13 16:26:05,223 tasks Starting product expiration check at 2025-06-13 16:26:05.222081+07:00 WIB
INFO 2025-06-13 16:26:05,343 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:05,378 tasks Found 5 available products to check
INFO 2025-06-13 16:26:05,576 tasks Starting product expiration check at 2025-06-13 16:26:05.576775+07:00 WIB
INFO 2025-06-13 16:26:05,649 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:05,651 tasks Found 5 available products to check
INFO 2025-06-13 16:26:05,905 tasks Starting product expiration check at 2025-06-13 16:26:05.905211+07:00 WIB
INFO 2025-06-13 16:26:05,943 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:06,014 tasks Found 5 available products to check
INFO 2025-06-13 16:26:06,250 tasks Starting product expiration check at 2025-06-13 16:26:06.250772+07:00 WIB
INFO 2025-06-13 16:26:06,272 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:06,329 tasks Found 5 available products to check
INFO 2025-06-13 16:26:06,596 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:06,599 tasks Starting product expiration check at 2025-06-13 16:26:06.599548+07:00 WIB
INFO 2025-06-13 16:26:06,700 tasks Found 5 available products to check
INFO 2025-06-13 16:26:06,991 tasks Starting product expiration check at 2025-06-13 16:26:06.991183+07:00 WIB
INFO 2025-06-13 16:26:06,997 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:07,014 tasks Found 5 available products to check
INFO 2025-06-13 16:26:07,277 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:07,379 tasks Starting product expiration check at 2025-06-13 16:26:07.379785+07:00 WIB
INFO 2025-06-13 16:26:07,435 tasks Found 5 available products to check
INFO 2025-06-13 16:26:07,710 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:07,710 tasks Starting product expiration check at 2025-06-13 16:26:07.710317+07:00 WIB
INFO 2025-06-13 16:26:07,812 tasks Found 5 available products to check
INFO 2025-06-13 16:26:08,059 tasks Starting product expiration check at 2025-06-13 16:26:08.059036+07:00 WIB
INFO 2025-06-13 16:26:08,080 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:08,114 tasks Found 5 available products to check
INFO 2025-06-13 16:26:08,378 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:08,450 tasks Starting product expiration check at 2025-06-13 16:26:08.450152+07:00 WIB
INFO 2025-06-13 16:26:08,500 tasks Found 5 available products to check
INFO 2025-06-13 16:26:08,782 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:08,829 tasks Starting product expiration check at 2025-06-13 16:26:08.829802+07:00 WIB
INFO 2025-06-13 16:26:08,869 tasks Found 5 available products to check
INFO 2025-06-13 16:26:09,150 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:09,208 tasks Starting product expiration check at 2025-06-13 16:26:09.208479+07:00 WIB
INFO 2025-06-13 16:26:09,267 tasks Found 5 available products to check
INFO 2025-06-13 16:26:09,561 tasks Found 0 products expired more than 2 hours ago
